Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Vendor flow,Chrome 70.0.3538.110,,2018-12-06 18:35:46,2018-12-06 18:38:38,2m - 51.310s,FAILED
,,,,,,
Test Cases/Vendor/Invoice_Initiate,Chrome 70.0.3538.110,,2018-12-06 18:35:47,2018-12-06 18:36:51,1m - 3.997s,FAILED
"openBrowser("""")",Chrome 70.0.3538.110,,2018-12-06 18:35:47,2018-12-06 18:35:53,5.780s,PASSED
"navigateToUrl(""http://siachen:8007/NSMvendor/"")",Chrome 70.0.3538.110,,2018-12-06 18:35:53,2018-12-06 18:35:55,1.568s,PASSED
"setText(findTestObject(""Object Repository/Invoice_initiate/Page_Login Page/input_Vendor platform_userid""), ""vendor01"")",Chrome 70.0.3538.110,,2018-12-06 18:35:55,2018-12-06 18:35:59,4.312s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Invoice_initiate/Page_Login Page/input_Vendor platform_password""), ""RfES2L809yyT69vCWLoDzQ=="")",Chrome 70.0.3538.110,,2018-12-06 18:35:59,2018-12-06 18:36:02,3.310s,PASSED
"click(findTestObject(""Object Repository/Invoice_initiate/Page_Login Page/input_Vendor platform_btnlogin""))",Chrome 70.0.3538.110,,2018-12-06 18:36:02,2018-12-06 18:36:06,3.959s,PASSED
AlertPresent = waitForAlert(5),Chrome 70.0.3538.110,,2018-12-06 18:36:06,2018-12-06 18:36:07,1.024s,PASSED
if (AlertPresent == true),Chrome 70.0.3538.110,,2018-12-06 18:36:07,2018-12-06 18:36:09,2.049s,PASSED
"click(findTestObject(""Object Repository/Invoice_initiate/Page_Vendor Platform/a_Invoice""))",Chrome 70.0.3538.110,,2018-12-06 18:36:09,2018-12-06 18:36:11,2.161s,PASSED
"click(findTestObject(""Object Repository/Invoice_initiate/Page_Vendor Platform/a_Initiate""))",Chrome 70.0.3538.110,,2018-12-06 18:36:11,2018-12-06 18:36:14,2.610s,PASSED
